Unnamed: 0.1,Timestamp,Census Tract,Amount of Visible Empty Liquor Bottles [Scale: 1 (None) to 5 (A Lot)],Amount of Visible Cigarette Debris [Scale: 1 (None) to 5 (A Lot)],Amount of Visible Condoms [Scale: 1 (None) to 5 (A Lot)],Amount of Visible Trash [Scale: 1 (None) to 5 (A Lot)], Are there abandoned cars in the neighborhood? How many do you see? ,Attitude of Residents [Scale: 1 (Friendly and Helpful) to 5 (Suspicious)],Condition of Buildings [Scale: 1 (Well Kept) to 4 (Poor)],"Is there graffiti or evidence of graffiti that has been painted over on buildings, signs, or walls? (Questions 22-23)",Presence of Fencing [Scale: 1 (No fencing) to 4 (High mesh with barbed wire or spiked tops)],Are any commercial/residential buildings being renovated?,What kinds of establishments are there on the block face? Select all that apply.,Amount of street linked with trees [Scale: 1 (None or Few) to 3 (Most or All)],Is there public transportation available in the block face? ,Are private security guards visible?,Is there a police officer visible? ,Image #1,"Full Address of Block Face in Image #1 (Street Number, Street Name, City, State, Zip Code). E.g.: 2128 Oxford Street, Berkeley, CA, 94704.",Image #3 coordinates,Image #4 coordinates,Image #5 coordinates
11,2018-10-22 23:01:24,4229.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,0,2.0,1,"Banks or credit unions, Bars and alcoholic beverage services, Community center, Eating places/restaurants, Liquor stores or Marijuana Dispensaries, Public library, Post office, Schools or daycare centers, Supermarkets/grocery stores",2.0,1,1,0,https://drive.google.com/open?id=1Zy4jfsaAfmYetUyW13ofXS-gWyMl_DnE,"2033 Centre Street, Berkeley, CA 94704","[37.8694472, -122.270795144079]","[37.8701032, -122.268136572251]",
12,2018-10-22 15:17:51,4028.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,1,2.0,1,"Community center, Warehouses",2.0,1,0,0,https://drive.google.com/open?id=1ixUrnmxxv0yOWIoT3kFjrL8WkarCIQDE," 21st Street, Oakland, CA, 94607","[37.8044557, -122.2713563]","[37.8044557, -122.2713563]","[37.8044557, -122.2713563]"
13,2018-10-22 15:25:57,4203.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0,1.0,0,,2.0,0,0,0,https://drive.google.com/open?id=1d4ZNZPsaQ6YRtRSC-UT-SMK0zYdUWY6s,"943 Jackson Street, Albany, CA, 94706","[37.8895369795918, -122.301427979592]",,
14,2018-10-22 16:38:09,4005.0,2.0,3.0,1.0,3.0,0.0,2.0,3.0,0,2.0,0,,2.0,0,0,0,https://drive.google.com/open?id=1CBfKktK-lNH4tkPNECQFFg_REQh3E6-F,"765-725 65th St Oakland, CA 94609","(37.8485167, -122.2647445)","(37.8485167, -122.2647445)","(37.8485167, -122.2647445)"
15,2018-10-22 16:56:02,4217.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,0,1.0,0,Supermarkets/grocery stores,3.0,1,1,0,https://drive.google.com/open?id=1V4tmPwWKMhN-i9UP5ins4TQ2FbJ25O47,"1480 Shattuck Ave, Berkeley, CA 94709","[37.8803948, -122.2695509]",,
16,2018-10-22 16:57:02,4203.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,0,1.0,0,Schools or daycare centers,3.0,0,0,0,https://drive.google.com/open?id=1Oyf6uxl4a_dvAiMi7_n1YLTF8WqoiAgu,"Jackson Street, Albany, CA 94706","[37.8835598, -122.2999737]","[37.8835598, -122.2999737]","[37.8835598, -122.2999737]"
17,2018-10-22 17:58:19,4206.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,0,1.0,0,"Parks, Playgrounds, Schools or daycare centers",3.0,0,0,0,https://drive.google.com/open?id=13OSC29IA4bFSwTSnlfZyAg6ZfHedhYDw," 1001 Santa Fe Ave, Albany, CA 94706","[37.8865538, -122.2862347]","[37.8889554, -122.2882017]","[37.8865538, -122.2862347]"
18,2018-10-22 18:55:28,4030.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0,2.0,1,"Banks or credit unions, Community center, Eating places/restaurants, Fast food or take-out places, Schools or daycare centers",2.0,1,0,0,https://drive.google.com/open?id=1xOMxDNzIiBsq9qvSH22DHCHw-cBw_E_e,"1000 Broadway #5000, Oakland, CA 94607","(37.8004265, -122.270732)","(37.8004265, -122.270732)","[37.80107175, -122.27290728265]"
19,2018-10-22 19:05:25,4007.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,0,3.0,0,,2.0,0,0,0,https://drive.google.com/open?id=1ZNui1Tr4WKNRNhAjImuF85HxnjAL_dub,"5417 Genoa Street, Oakland CA, 94608","[37.83876, -122.27169]","[37.8388597838474, -122.271710102164]","[37.8396310384707, -122.271994332925]"
20,2018-10-22 20:02:54,4027.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,1,3.0,0,,3.0,0,0,0,https://drive.google.com/open?id=1Zy0My4U118vLre944Z2_Cw-trROWh6ey,"819 St., Oakland, CA, ","[37.8117458, -122.2773832]","[37.8121296431387, -122.278383939745]",
21,2018-10-22 20:42:07,4204.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,1.0,1,Parks,3.0,0,0,0,https://drive.google.com/open?id=1SU00i-D4xkZbL-c81q6vwpl0COrj-zCn,1198 Garfield Ave Albany CA 94706,"[37.8955509501496, -122.298512110042]",,
22,2018-10-22 21:09:02,4235.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0,1.0,1,Chain retail stores,2.0,1,0,0,https://drive.google.com/open?id=1PYGbOwFcaIGgqrcypt6QjPjBefTCM96p,"2701 Shattuck Ave Berkeley, CA 94705","[37.8582275033557, -122.266740899329]","[37.860224, -122.26728]","[37.8729527, -122.2684812]"
23,2018-10-23 00:15:21,4007.0,2.0,2.0,1.0,2.0,0.0,3.0,2.0,0,2.0,1,,2.0,1,0,0,https://drive.google.com/open?id=1-rKpkSfiRyxJXWI6svNMA8c0tyzaosEi,"6002 Martin Luther King Jr Way, Oakland, CA, 94609","[37.8455132950346, -122.268707174414]","[37.845426548263, -122.269375881554]","[37.8453560909265, -122.269919209273]"
24,2018-10-24 00:17:21,4201.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,2.0,1,,3.0,0,0,0,https://drive.google.com/open?id=1k56-U_UaZ5vvr9xXBiWcMutTvUIEwTua,"615 San Carlos Ave, Albany, CA 94706","[37.8963914793161, -122.289204747985]","[37.89649, -122.2892]",
25,2018-10-22 22:19:38,4204.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,1,1.0,0,"Community center, Eating places/restaurants, Fast food or take-out places, Parks, Playgrounds, Schools or daycare centers, Supermarkets/grocery stores, Warehouses",1.0,1,0,0,https://drive.google.com/open?id=1rFh9Z58twKJUsaACZG9dSMTJFp0E-DGh,"1080 Monroe St. Albany, CA 94706","[37.884272, -122.298408]","[37.8842042112848, -122.298749515144]","[37.884267, -122.2985151]"
26,2018-10-23 22:59:20,4201.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1,1.0,0,"Parks, Schools or daycare centers",3.0,0,0,0,https://drive.google.com/open?id=1i3zYr6DicvylOkn5hysd6LFRMs4CgTHC,"603 Key Rte Blvd, Albany, CA 94706","[37.89559215, -122.290822536266]","[37.8967325251329, -122.290578904784]","[37.8974950863624, -122.289992987122]"
27,2018-10-23 01:11:34,4031.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,0,1.0,0,"Bars and alcoholic beverage services, Eating places/restaurants",3.0,0,0,0,https://drive.google.com/open?id=1_Xb6npv5dCTUZyci3YVejMpLXYt4XUvY,"8th and Broadway, Oakland, CA, 94607","[37.795215375, -122.2768425625]","[37.7958773673737, -122.277921361207]","[37.800381, -122.273888]"
28,2018-10-23 12:01:35,4030.0,1.0,3.0,1.0,4.0,0.0,3.0,2.0,1,3.0,0,Professional offices (doctor dentist lawyer accountant real estate),3.0,1,0,0,https://drive.google.com/open?id=1gLgC1blg2mmd2TlkXl2yqZlI82u4OAKw,"704 Broadway #202, Oakland, CA 94607","[37.7997220929327, -122.274044720202]","[37.7997220929327, -122.274044720202]",
29,2018-10-23 12:22:15,4033.0,1.0,5.0,1.0,1.0,0.0,4.0,3.0,0,3.0,0,"Auto repair/auto body shop, Liquor stores or Marijuana Dispensaries",1.0,0,0,0,https://drive.google.com/open?id=10h5F8Rmn-HMspaKNzuh96aJOX-6gTbPX,"184 10th Street, Oakland, CA","[37.7984543673469, -122.265294122449]",,
30,2018-10-23 13:57:52,4205.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,1.0,0,,3.0,0,0,0,https://drive.google.com/open?id=1php9GYfSMr1BO2vbyeZ2LDPBjuZd18dR,"1009 Kains Avenue, Albany, CA 94706","[37.8866182457903, -122.296950730685]",,
31,2018-10-23 14:50:52,4213.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,2.0,0,"Bodega deli corner-store convenience store, Fire station, Gas station, Parks, Public library, Schools or daycare centers",2.0,1,0,0,https://drive.google.com/open?id=1QodcBBMUydZI5dRD0UzeAuwFP9hzfSFP,"1900 Hopkins St, Berkeley, CA, 94707","[37.885301, -122.274867]","[37.8854336, -122.275411300825]","[37.8850761, -122.2759111]"
32,2018-10-23 14:59:13,4229.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,0,3.0,1,"Banks or credit unions, Bars and alcoholic beverage services, Eating places/restaurants",2.0,1,0,0,https://drive.google.com/open?id=1tVppOOGOEsE1g4HdIP1Pzwhpw3UaS7od,"2124 Bancroft Way, Berkeley, CA 94704","[37.8670654391399, -122.267704217634]","[37.8667518421053, -122.266783157895]",
33,2018-10-23 15:15:07,4213.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,0,2.0,1,Eating places/restaurants,2.0,1,0,1,https://drive.google.com/open?id=19U9lUCfaGNNuyAdwjPNFfeWDp0PZ7DIy,"870 Peralta Ave, Berkeley, CA 94707","[37.89163744244, -122.286513772363]","[37.8923111704176, -122.286485365867]",
34,2018-10-23 15:27:46,4202.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,2.0,0,"Community center, Eating places/restaurants, Playgrounds",3.0,1,0,0,https://drive.google.com/open?id=1nQcguvmxgmvKFYprt0KY64MrpwaxtKw4,"998 Ohlone Ave, Albany, CA 94706","[37.8854398885486, -122.301077936104]","[37.8841892, -122.3026891]","[37.8835598, -122.2999737]"
35,2018-10-23 17:34:16,4217.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,1.0,0,"Bars and alcoholic beverage services, Chain retail stores, Eating places/restaurants, Post office, Professional offices (doctor dentist lawyer accountant real estate)",3.0,1,0,0,https://drive.google.com/open?id=1r8TCm6REYvC4ix1qOmWvN8T0qacTwWwf,"1515 Shattuck Ave, Berkeley, CA 94704","[37.8798891426178, -122.26806357061]","[37.8799525350236, -122.26807026203]",
36,2018-10-23 18:08:22,4027.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1,3.0,0,,2.0,0,0,0,https://drive.google.com/open?id=1iXvsdUDnilzhBtJfqu1LMzcyYRsGvj1u,"1807 Martin Luther King Jr Way，Oakland, CA","[37.8096855714286, -122.275176816327]","[37.8097704285714, -122.275119326531]","(37.8103872, -122.2769914)"
37,2018-10-23 18:33:52,4010.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,1,2.0,0,,1.0,1,0,0,https://drive.google.com/open?id=1fKx3SRxYpjrpTJi-P-AiiiHfXig_yjuj,"1000 Market Street, Oakland, CA, 94608","[37.8444441, -122.2751641]",,
38,2018-10-23 19:53:32,4005.0,2.0,1.0,2.0,2.0,3.0,5.0,2.0,0,1.0,1,,3.0,0,0,0,https://drive.google.com/open?id=1DDDtscjIJAzPhKXm1oj_bIS7fZuw43mz,576 63rd Street,"(37.8485167, -122.2647445)","[44.933143, 7.540121]","(37.8485167, -122.2647445)"
39,2018-10-23 20:00:48,4005.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,0,1.0,1,,3.0,0,0,0,https://drive.google.com/open?id=1I7zmNvYLGJZGIRn3q-6Aklq_l6w7djkA,"544 63rd street, Oakland, CA, 94609","[37.8487297353552, -122.263930197679]","(37.8485167, -122.2647445)",
40,2018-10-23 20:19:22,4212.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,2.0,0,"Parks, Schools or daycare centers",3.0,1,0,0,https://drive.google.com/open?id=1OaPDYtR341O-qLB8jV_ioZBVv1he0vrW,"2300 Marin Ave, Berkeley, CA 94708","[37.8931667, -122.2679442]","[37.8931667, -122.2679442]",
41,2018-10-23 20:27:26,4027.0,2.0,2.0,1.0,2.0,0.0,3.0,2.0,0,1.0,0,,3.0,0,0,0,https://drive.google.com/open?id=1LK3VZLQidNRh0bc_kUPdjsthDqdyk0lU,"1505 West St Oakland, CA 94612","[37.8085110007666, -122.279949391343]","[37.8085110007666, -122.279949391343]","[37.8086238632237, -122.279769915955]"
42,2018-10-23 20:33:02,4010.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,0,3.0,1,Professional offices (doctor dentist lawyer accountant real estate),2.0,0,0,0,https://drive.google.com/open?id=1kWLo95-m5LNP3irHiBf6WeNSawaHQa7t,"934 41st Street, Oakland, CA, 94608","[37.8319139165447, -122.275436635432]","[37.83232, -122.277337]","[37.83232, -122.277337]"
43,2018-10-23 20:39:12,4028.0,1.0,3.0,1.0,2.0,0.0,3.0,2.0,1,2.0,0,Eating places/restaurants,1.0,0,1,0,https://drive.google.com/open?id=1--X3IERLpsSLoOKXwH6vDUFPPzILB9Or,"550 Fox Courts South 18th Street, Oakland, CA, 94612","[37.8079236744261, -122.271813402555]","(37.8087183, -122.2715003)",
44,2018-10-23 20:42:19,4010.0,2.0,3.0,1.0,3.0,1.0,5.0,2.0,0,2.0,0,,2.0,0,0,0,https://drive.google.com/open?id=14Zi7pZYEeE5_-g-Lk2FoloPzgilLbWHg,"675 44th St, Oakland, CA","[37.8330656179583, -122.26931044855]",,
45,2018-10-23 20:42:58,4201.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,2.0,0,"Community center, Playgrounds, Schools or daycare centers",3.0,0,0,0,https://drive.google.com/open?id=1Bk29OpfwsavlWOlSC0aEZKLprzz2yb7u,,"(37.8947731, -122.2910214)","(37.8947731, -122.2910214)",
46,2018-10-23 20:54:32,4206.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0,2.0,0,Schools or daycare centers,3.0,0,0,0,https://drive.google.com/open?id=1zSkGA2hTxWqbOZlaOl0l7XPuwyAPymTx,N/A (Curtis St),"[40.850112, -73.08208]","[40.850112, -73.08208]",
47,2018-10-23 21:11:05,4224.0,1.0,2.0,1.0,4.0,0.0,5.0,2.0,0,3.0,0,Parks,2.0,0,0,0,https://drive.google.com/open?id=1o13bUdAZt3k9FDtoO4o9BxlFFFKQxqI9,"Deleware Street, Berkeley, CA 94704","(37.8752396, -122.2695878)","(37.8752396, -122.2695878)",
48,2018-10-23 21:13:32,4202.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,1.0,1,"Bodega deli corner-store convenience store, Eating places/restaurants",3.0,0,0,0,https://drive.google.com/open?id=1EaeU-2GqfIHWo7f7-FEw8K-ry-PYTFj6,,"(37.8944611, -122.2974624)","(37.8944611, -122.2974624)",
49,2018-10-23 21:18:34,4014.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1,4.0,0,"Liquor stores or Marijuana Dispensaries, Playgrounds",1.0,0,0,0,https://drive.google.com/open?id=1gJv2d6HVOUlBcwkUGlmrob92lr-qKeOv,825 Brockhurst St. Emeryville CA 94608 ,"(37.8207387, -122.2733758)","(37.8207387, -122.2733758)","(37.8207387, -122.2733758)"
50,2018-10-23 21:32:03,4202.0,1.0,3.0,1.0,4.0,0.0,2.0,3.0,0,1.0,1,"Banks or credit unions, Bars and alcoholic beverage services, Eating places/restaurants, Liquor stores or Marijuana Dispensaries, Professional offices (doctor dentist lawyer accountant real estate)",3.0,1,0,0,https://drive.google.com/open?id=15ZY8xsikZW_10CpGQLiw-fhdkbPa-fcX,"865 San Pablo Ave, Albany, CA, 94706","[37.8921267857143, -122.299759928571]","[37.8921267857143, -122.299759928571]",
51,2018-10-23 21:45:10,4235.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1,2.0,0,Auto repair/auto body shop,3.0,0,0,0,https://drive.google.com/open?id=1z83o-9GDg9VNfmVi95D1wzWHXvrNQc-I," 2555 Shattuck Ave, Berkeley, CA 94704, USA","[37.8631415148151, -122.26606307955]",,
52,2018-10-23 23:23:27,4201.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0,1.0,0,"Parks, Playgrounds",3.0,0,0,0,https://drive.google.com/open?id=1CW1T6Pi0wnDoQmXEJuh_M_LL6ZaoF747,San Carlos Ave Albany Ca 94706	,"[37.8948026, -122.2891356]",,
53,2018-10-23 21:59:18,4007.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,1,2.0,0,"Auto repair/auto body shop, Bodega deli corner-store convenience store, Eating places/restaurants, Liquor stores or Marijuana Dispensaries",2.0,1,0,0,https://drive.google.com/open?id=13pJ6X7Ge3HYJAfIIS5WfORcr5rJY3I9n,"5751 Market St, Oakland CA 94608","[37.8427823673469, -122.274058653061]","[37.84392, -122.27478]",
54,2018-10-23 22:20:02,4030.0,1.0,4.0,1.0,4.0,0.0,4.0,3.0,1,1.0,0,"Banks or credit unions, Eating places/restaurants, Supermarkets/grocery stores",1.0,0,0,1,https://drive.google.com/open?id=1BfjrQUlJabEL4csCgbDGK9tyrh-caOg1,"727 Webster Street, Oakland, CA, 94607","[37.7988427524708, -122.271775558989]",,
55,2018-10-23 22:19:16,4205.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,2.0,1,Schools or daycare centers,3.0,0,0,0,https://drive.google.com/open?id=1s-CZmwfgblzmZByIaphefGpU3XH2IsbP,"918 Cornell Ave, Albany, CA, 94706","(37.8867059, -122.2950048)","(37.8867059, -122.2950048)",
56,2018-10-23 22:22:04,4005.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1,4.0,1,"Eating places/restaurants, Fast food or take-out places, Supermarkets/grocery stores",2.0,1,0,0,https://drive.google.com/open?id=1yRnkHaLwrLdRlkcBwyqvWiYtilPhJMSA,"618 Alcatraz ave, Oakland CA, 94610","[37.84981615, -122.2643041125]",,
57,2018-10-23 22:48:00,4206.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0,1.0,0,"Parks, Playgrounds",3.0,0,0,0,https://drive.google.com/open?id=1f7QR4PKjSkpHG-Grs8RyL8b0FIJOzYgW,"1091 Neilson St Albany, CA 94706","[37.885853, -122.287287]",,
58,2018-10-23 23:29:08,4214.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,2.0,0,,2.0,1,0,0,https://drive.google.com/open?id=1aCZahQPN6gA06xqxK80O-d4wCCU_7zNX,"925 San Benito Rd, Berkeley, CA, 94707","[37.891362, -122.2676401]","[37.8913520294817, -122.267346792393]",
59,2018-10-23 22:37:16,4229.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0,1.0,0,"Banks or credit unions, Bars and alcoholic beverage services, Eating places/restaurants, N/A",2.0,1,0,1,https://drive.google.com/open?id=1hHcKSFiSlLV9pGHIk7YYofEGbBHyAaKY,"Shattuck Ave between Channing Way and Durant St. Berkeley CA, 94794 ","(37.8678899, -122.269247)","(37.8678899, -122.269247)",
60,2018-10-23 22:49:13,4235.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,1,3.0,0,Auto repair/auto body shop,3.0,0,0,0,https://drive.google.com/open?id=1XWV9TbMExIjMEjLNfevlp2vKh86TJsVG,"no street number visible, Parker Street, Berkeley, CA, 94720","(37.859365, -122.2680467)",,
61,2018-10-23 22:55:25,4014.0,1.0,1.0,1.0,3.0,0.0,3.0,2.0,1,2.0,1,,1.0,1,0,0,https://drive.google.com/open?id=1KKEaLGOKSJ3e3jG4ne7HMXx7lLUAlUhQ,"3000 Martin Luther King Jr. way, Oakland, CA, 94609","(37.8207387, -122.2733758)","[37.8206401218958, -122.271581611102]","[37.8206401218958, -122.271581611102]"
62,2018-10-23 23:39:25,4212.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1,2.0,0,"Parks, Playgrounds",3.0,0,0,0,https://drive.google.com/open?id=1VVe6j7axGUwCQ-9DrOHXFDUWUSgMfFLD,"31-7 San Mateo Rd. Berekeley, CA, 94709","(37.8975481, -122.2752271)","(37.8975481, -122.2752271)","(37.8975481, -122.2752271)"
63,2018-10-23 23:44:07,4033.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1,2.0,1,"Banks or credit unions, Bars and alcoholic beverage services, Bodega deli corner-store convenience store, Community center, Eating places/restaurants, Public library, Post office, Schools or daycare centers, Warehouses",2.0,1,0,1,https://drive.google.com/open?id=1x5g6gz5evGxooff8FsWU4k3dUesXutIM,"12th and Madison Street, Oakland, CA 94610","[37.8002714527687, -122.265490617566]","[37.7970308, -122.2654173]",
64,2018-10-23 23:45:03,4007.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0,0,2.0,1,"Parks, Playgrounds",3.0,1,0,0,https://drive.google.com/open?id=1gMLbnqF8spsrUmHUQ9nTypm-pGpB1Hov,"5700 Martin Luther King Jr Way, Oakland, CA 94609","[37.8427123394632, -122.267883482115]",,
65,2018-10-24 00:03:06,4031.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,0,2.0,0,"Bars and alcoholic beverage services, Eating places/restaurants, Professional offices (doctor dentist lawyer accountant real estate), Supermarkets/grocery stores",3.0,0,0,0,https://drive.google.com/open?id=1JLtcYfkzsQVn5RqtqwCPrv1msF8Q8Fuz," 499 9th St, Oakland, CA 94607","[37.8013752938667, -122.274367933985]",,
66,2018-10-24 00:06:50,4010.0,2.0,2.0,1.0,3.0,0.0,3.0,3.0,1,2.0,1,"Auto repair/auto body shop, Liquor stores or Marijuana Dispensaries",2.0,1,0,0,https://drive.google.com/open?id=1gdkSHVPFXkFgVtUsEWcOWRKgueexK_qM,Intersection of 45th and MLK Jr Way,"[37.8330555708682, -122.269243744937]","(37.831217, -122.2719625)",
67,2018-10-24 00:07:49,4214.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1,2.0,0,"Playgrounds, Schools or daycare centers",3.0,1,0,0,https://drive.google.com/open?id=1MbJXL7-MG0EvEb-Ng40ez1f6S_t1ZT2Q,"2314 Marin Ave., Berkeley, CA 94708","[37.894146, -122.26598]","[37.8935136, -122.2668951]","[37.8934392040816, -122.267089612245]"
