Is there public transportation available in the block face? ,"On a scale of 1 - 4, where 1 is ""No fencing"" and 4 is ""High mesh fencing with barbed wire or spiked tops"", is there fencing and what kind? (includes all property)","On a scale of 1 - 4, where 1 is ""Very well kept / good condition"" and 4 is ""Poor / badly deteriorated condition"", in general, how would you rate the condition of buildings on the block face? (includes residential buildings, recreational facilities, manufacturing plants, business / industrial headquarters, etc)","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many cigarette or cigar butts or discarded cigarette packages  are on the sidewalk or in the gutters? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"",  how many condoms are present on the sidewalk, in the gutters, or street of block face? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how many empty beer or liquor bottles are visible in streets, yards, or alleys? ","On a scale of 1 - 5, where 1 is ""None"" and 5 is ""A Lot"", how much garbage, litter, or broken glass in the street or on the sidewalks? ","On a scale of 1-3, where 1 is ""Few or none"" and 3 is a ""Most/all of it"", how many trees are linking the street of the block face? ","On a scale of 1-5 where 1 is ""Friendly Responses / Greetings / Helpful"" and 5 is ""Treated with Suspicion"", How were you regarded by the people in the block face?",Other thoughts or comments for Image #1,Other thoughts or comments for Image #2,Other thoughts or comments for Image #3,Other thoughts or comments for Image #4,Other thoughts or comments for Image #5,Timestamp,What kinds of establishments are there on the block face? Select all that apply.,Census Tract
1,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,"This is a renovating multi stories parking garage, which has shown that the need of parking spaces in the area. Other than parking spaces for vehicles, it is not hard to see that this parking building will also provide spaces for bikes. ","An open area located in Shattuck Avenue, right next to the Downtown Berkeley bart station. There are tables and chairs for people to sit and rest. During the time I observed, there are two groups of people using the facility. ",An official ballot drop box placed outside of the Berkeley Civic Centre. This facility has increased the connivence for citizen to vote. ,"A newly renovated entrance to Downtown Berkeley bart station. The entrance has used transparent materials, created a stylish and fancy look, which enhanced the appearance of the city. Other exits or entrances are still haven't renovated. ",,2018-10-22 23:01:24,"Banks or credit unions, Bars and alcoholic beverage services, Community center, Eating places/restaurants, Liquor stores or Marijuana Dispensaries, Public library, Post office, Schools or daycare centers, Supermarkets/grocery stores",4229.0
1,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,In this picture you can see a new apartment building under construction and signs of graffiti on the trash can.,This picture shows a gated parking lot for the residential homes.,Recently developed apartment building as part of a gentrified street.,mental health facility ,A new developed Christian boys apartment building.,2018-10-22 15:17:51,"Community center, Warehouses",4028.0
0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,Three houses in the middle of the block. Distinct color and style though some consistency in the design. The middle house appears in rougher condition with the old rusted car in the drive way. Another vehicle is covered up next to the car.,Car parked on street for sale.,"Larger parking area in front of white shed that lies between two residential buildings: larger white apartment-like complex (at least 4 units per building), and beige house. Lawns are dried up.",,,2018-10-22 15:25:57,,4203.0
0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,Caption 1 : This is a campaign advertisement placed by one of the residents of 66th street. It is advocating for the candidate Jovanka Beckles who is a mental health professional in Contra Costa.,"
Caption 2: This was placed outside an empty lot that will soon go through the construction of a building of commercial use, but also includes residential space. ",Caption 3 : This is a babysitting advertisement posted on an electric pole. This shows that families do live in this area. ,"Caption 4: A few of these houses had these security signs, which is a warning to anyone that tries to steal or harm the property.
","Caption 5: This patch of grass contains a variety of items that should probably be in the trash; this ranges from cigarette buds, to clothing items. ",2018-10-22 16:38:09,,4005.0
1,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,"The bus stop on Shattuck Avenue faces a large amount of businesses such as a book store, a nail salon, and restaurants. It is convenient for the inhabitants of this block to have many services at such a close range but also for those who come from neighboring blocks who have access to these services in close proximity to a bus stop. ",The Safeway with bike racks in front indicate that perhaps it is common for many individuals from nearby blocks to grocery shop here. The Safeway in the middle of the block adds a large amount of vehicular and foot traffic to an otherwise calm and quiet block. ,"This image shows two of the very few people of color observed in this block. The man is a private security for Bank of the West, while the women is collecting cans in a shopping cart and asking for spare change. ",,,2018-10-22 16:56:02,Supermarkets/grocery stores,4217.0
0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,sign of jackson street crossing with washington avenue,a resident was giving their used grill away and had a free to take sign on it,most cars were lined up across the street rather than in their driveways,this is the children's center across the street,this is the abandoned stroller across the street,2018-10-22 16:57:02,Schools or daycare centers,4203.0
0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,the school was located conveniently in a community that circled around the school. The houses surrounding the school were well kept and it seemed like a great place for an evening stroll for the individuals in the community. The street was clean around the school as well there was no visible litter in the area. ,"Although the school was well kept and the neighborhood, the streets in this area were not greatest. There needs to be an improvement in the streets for aesthetic purposes rather than functionality of it since there were no visible potholes. ","Community Park located in between the neighborhood, this was the location where I got the most stares as I'm sure people were well aware that I was not from there and taking pictures of their community as an outsider was probably off putting for them. ",This was the intersection for Santa Fe and Neilson Street  in between where you approach the neighborhood park. Most of the families the day where out in their front yards doing family activities such as pumpkin carvings ,"Just thought this was fancy for a park to have a sign like this, I'm just thinking about the park back home (I'm from a low income latino community) and our park does not have something as official as this. ",2018-10-22 17:58:19,"Parks, Playgrounds, Schools or daycare centers",4206.0
1,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,The group was that big the whole half hour I was there. Also there's bread on the floor and the floor near the bus stop is wet.,Here's the bread. I found the empty bag of bread right where the group of people were. ,These bilingual signs reoccur all around the block. Makes sense since this is Chinatown. ,"The irony of this is that the block has a nice dispenser for your cigarette butts, yet some fellow decided he was too far away and dropped his cigarette butt right next to this light post. You can see the orange butt on the right side.","This is a bit far from the past area, I did take a walk all around the block and saw this tree with a supporting stick tied to it. The stick itself had some neat stickers that show some of the street art and culture, nice.",2018-10-22 18:55:28,"Banks or credit unions, Community center, Eating places/restaurants, Fast food or take-out places, Schools or daycare centers",4030.0
0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,"The photo shows a residence with a portable outhouse positioned in the front yard, and a sign to beware of dogs. I did not hear any dogs or any people nearby. The house may be under construction, but I conducted my observation on a Sunday and there were no workers to be seen. I was unable to ascertain if the building was abandoned or only undergoing renovations. It may be worth noting that when I went to match my photo with a street address on Google Earth, the image shown on the latter depicted that this house was once in much better repair.","This photo shows what was probably a multiple family residence, surrounded on all sides by high, vision-blocking fencing. At first glance, I assumed from the fencing the building was abandoned, but when I looked closer, I saw lights on and a campaign sign in the window. Flowers grew behind the fence, and the yard appeared to be somewhat maintained. It may be worth noting that when I returned to google earth to match my images to their addresses that the fence was not shown.","This photo is of the street corner directly outside of the house pictured in image 2, showing the large waste items left on the corner. There are a few large items of furniture, denoting the possibility of recent moving or vacating of the residences nearby. ","This is a screenshot from the video footage of the walk taken down Genoa. I was struck by the severe disrepair of the front landscaping for the house pictured, versus the house next door, which was well-kept and decorated for Halloween. Again, the recurring juxtaposition of well kept homes existing directly next to severely dilapidated ones was striking. ","While not on the blockface observed, I photograhed the adjacent corner to show that businesses are nearby, even if not on the blockface of Genoa. This picture was taken from the corner of Genoa and 55th, and shows Clean Cuts Barber, a pedestrian, and the street sign.",2018-10-22 19:05:25,,4007.0
0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,The painting on the staircase has been peeling off.,"The bars on the lower window indicates how the neighborhood is not entirely safe and how break-ins can occur through the windows, hence some of the houses barred their windows for precaution. ","It appears like someone has cut into the fence, and it hasn’t been repaired since then.","One of many “Cat Brooks for Oakland Mayor” signs
Cat Brooks is running for Oakland Mayor and some of her platform includes fighting for housing for everyone, quality education for everyone, an economy that will create good paying jobs close to Oaklanders, and investing in Early Childhood Development Programs to create safer communities. ",,2018-10-22 20:02:54,,4027.0
0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,Its the nicest house on the block,Large very old shade tree ,The only quadplex on the block ,,,2018-10-22 20:42:07,Parks,4204.0
1,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,Under construction with fencing lining the area.  Possible abandoned cars in the lot,Homeless pair of people camped out in a tent on the sidewalk of Derby st. ,Construction occurring in front of the block.,A bus passing by in front of the block. This picture was taken from the bus stop for bus 18 and 800 located on the block.,A view of the left side of the block (Derby street).,2018-10-22 21:09:02,Chain retail stores,4235.0
1,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,The houses in this block are mostly well kept. And the bus stop is near although there is only the #12 bus.,"Although the block seems to be peaceful and safe, we can find lots of iron meshes on the windows and doors which might refers to the potential danger in reality.",There is a security warning sign beside a tree which is set by the office of community development in cooperation with the Oakland Police Department. And the sign looks like an eye that observing and supervising the neighborhoods.,"Many security signs are seen in front of the private residential houses telling people that the residents of those houses are under professional protection and security. We can find at least 3 security companies from the signs, such as ADT, Bay Alarm and Life Line, etc.","There is a sign read No Trespassing on the wall beside the side door. And thinking of all the signs mentioned above, the safety of this block is highly likely to be worrying.",2018-10-23 00:15:21,,4007.0
0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,I thought it was interesting that in front of this house they had this little post. A little post that allowed people who passed by to take a book.,"This was one of the few, if only, houses that had random items scattered around the property.","This was one of the few houses, if only, that seemed to either be undergoing renovation or house with a damaged appearance.","This was a random house that I chose to represent the neighborhood. It was for the most part a well kept house, disregard the sideways cooler. ",,2018-10-24 00:17:21,,4201.0
1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,The newly constructed and modern commercial buildings. Here we see a Starbucks Coffee and the Banfield Pet Hospital. ,"Here is a sign that says, ""Designated Free Speech Area"". In the corner, someone has tagged, ""I do what I want!"" I have never seen a sign like this before and wonder why the sign is there in the first place.","It was hard to find cigarette buds and empty liquor bottles, but I was able to find a couple further down Monroe Street.","Someone tagged 'Please Jesus"" on the outside of a warehouse storage bin. This is located in the parking lot of the recreational center.","Here is the empty basketball court with a little storage shack and skate ramp. In the 30 minutes that I was examining the block, no one stepped foot in the gated area. ",2018-10-22 22:19:38,"Community center, Eating places/restaurants, Fast food or take-out places, Parks, Playgrounds, Schools or daycare centers, Supermarkets/grocery stores, Warehouses",4204.0
0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,"Albany High School. Its appearance looks a bit old, but it's well kept, and it has quite a lot of facilities, including a gymnasium, a swimming pool, and a baseball field. Looks like a descent high school. And right beside it, there's MacGregor High School, which is said to take care of student-at-risk from Albany High, though I am not sure what exactly their relation is.","The house is not big, without a front yard, and has only a limited backyard. But its appearance is clean and neat, appears to be well maintained. And it's a two-story house, while most on the street are one-story. One of the big houses on the street, though its outer design is quite plain compared with many others.","This is the north part of Memorial Park, where people bring their dogs to play. There were at least some twenty dogs running around on the grass when I passed by. The people seemed to know one another, and talked friendly. Interestingly, though, there were few kids in this part of the park.","Nothing special about this house. Well maintained, clean, one-story, quite common on this street. If anything, its appearance doesn't have any sort of decorations or particular designs that can make it stand out.","Probably one of the most beautiful house on the street. And it's large, and two-story, standing out at the end of the block very conspicuously, just like the white house on the other end of the block. Again, it's clean and well maintained. And judging from its appearance, its designer must have spent some efforts on it.",2018-10-23 22:59:20,"Parks, Schools or daycare centers",4201.0
0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,"Well dress folks, lit trees, pristine sidewalk",Clean sidewalk,Bike lane sign and Starbucks sign,Very clean public parking lot,Starbucks and scooter,2018-10-23 01:11:34,"Bars and alcoholic beverage services, Eating places/restaurants",4031.0
1,3.0,2.0,3.0,1.0,1.0,4.0,3.0,3.0,"Shows some signage, and the bus stop",Shows some of the trash that littered the sidewalk,"A mural that was not graffitied, despite graffiti covering most of the surfaces surrounding it.",Reveals the unkempt aesthetics of the area,,2018-10-23 12:01:35,Professional offices (doctor dentist lawyer accountant real estate),4030.0
0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,4.0,"Although rare, people are smoking on the street.",There are some nice street paintings here.,"People nearby rely on Laundromat, which means most units nearby does not have in-unit laundry.",,,2018-10-23 12:22:15,"Auto repair/auto body shop, Liquor stores or Marijuana Dispensaries",4033.0
0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,This is one of the modern homes on the block. The front has a very modern and clean aesthetic and it is well kept. This home was the only house on this block with this type of style home. The rest of the homes on this block were also smaller and this home stood out to me. ,"This is an example of the apartment complexes on my block. The front area has vegetation and is maintained well with no garbage. The car in the front of the house is a Subaru, suggesting that these individuals can afford a good car.","This was the corner house on my residential block. There is no garbage or debris in the front of the house.  Also, the front lawn has roses, plants and a hose, suggesting that the occupants of this house take the time to garden. ",,,2018-10-23 13:57:52,,4205.0
1,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,"My thoughts about this image was that the city made considerable efforts to maintain biking lanes and upkeep traffic control in regards to these lanes. This makes me think that the city puts an emphasis on more ecological means of transportation. They city is also likely able to do this because they have the funds for it, and considering that there are several markets, schools, and convenience stores in this residential area, everything residence need is within biking distance, which is probably why the city (as well as its residents who are involved in city management and likely want to use/advocate for these biking lanes) cares to even do this. Unfortunately, I do not see this often in poorer communities. ","In terms of image 2, we see this street sign is not like any other. It is made from stone with the street name engraved at the top under a statue of a sphere. This work of art, especially just for a street sign, is not common among impoverished neighborhoods, where street signs may not even be present. This street sign is symbolic of the wealth of the city and its citizens, denoting that they have the capital to build such an aesthetic monument for such an ""average"" object.  ","Across the street is a gas station, near the hub of the city. Unless most other gas stations in impoverished neighborhoods, this gas station is very well kept, not always super busy, and has seen some renovations in the past (I know because I used to stop there when I was younger). The business is obviously investing money into this specific station, likely to please their affluent customers/maintain the image of the area. The price of gas is fairly high. ","Next to the Public Library, there is a park consisting of a big grass field and trees. The area looks very well maintained (Thick bright green grass and green flourishing trees) as apposed to parks I have seen in the inner city that are mostly dirt and dark green weeds. I saw many children who seemed to be a part of the after school program playing in the park with some adults. I could tell the staff and volunteers are very involved in the programs, and that the library is thriving. The park, as well as the surrounding area, was clean of all trash, even loose leaves. ","One of the biggest observations to be made was of the housing. The houses were significantly well kept, in terms of the house itself and the gardening/driveways. These houses probably go for $700,000 and up. You could tell it was a wealthy community. I didn't see much people, but the area was only somewhat diverse. ",2018-10-23 14:50:52,"Bodega deli corner-store convenience store, Fire station, Gas station, Parks, Public library, Schools or daycare centers",4213.0
1,3.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,The construction unfortunately makes this block appear worse in quality that in reality. The sidewalk is blocked and the huge container both make the pedestrian experience disappointing.,I really appreciate the beautification efforts with the lights on these trees. It makes the place feel nicer.,This bank is very fortified. The entrance has a huge metal gate. It feels like a castle or a fortress of some sort. It was really awesome but also was indicative of serious levels of crime in the area.,At first I just thought this was a random pile of trash. I then realized that it was a pile of bags containing recyclables. Then I realized there was someone sleeping in the middle of it! That was the only homeless person I saw on the block.,,2018-10-23 14:59:13,"Banks or credit unions, Bars and alcoholic beverage services, Eating places/restaurants",4229.0
1,2.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,"There were many cars parked on the block face but interestingly I did not see anyone walking on the street. I also found some cigarette butts, but I would say the street was relatively clean compared to other areas in Berkeley I have seen.","This picture is taken on one side of the block face, where there are business stores including a restaurant, clothing stores, digital printing service shop, etc. I noticed that there were only few people entering these stores while I was observing there, and the block face was really quiet overall. ","I noticed by walking into this street from the block face that has business stores, there were marijuana joint butts on the street but not on the street with business stores. Also, I saw some adults walking but not children on the street. ","The picture of Trump on the wall got my attention, so I was observing the area and people inside the house having a conversation. I noticed that they talked about politics and a very biased topic toward certain groups of people. ",,2018-10-23 15:15:07,Eating places/restaurants,4213.0
1,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0, Clean and light Traffic,Nice environment grass are green and fresh no trash on the side of street.,Parking area all cars nicely parked ,Garbage place doesn’t smell and overall looks clean! ,Bus stop for public transportation and also lost of parking spaces for residents and visitors,2018-10-23 15:27:46,"Community center, Eating places/restaurants, Playgrounds",4202.0
1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,"People at Cesar on Sunday afternoon. This area is well known as Gourmet Ghetto, filled with fine restaurants","A café on Walnut St, the opposite side of Shattuck Ave. People look very relaxing and enjoying the sunny weather.",Walnut street is composed with residential area providing stable and peaceful environment.,"ery well-shaped small gardens, different environment from the opposite of the block: Shattuck Ave",,2018-10-23 17:34:16,"Bars and alcoholic beverage services, Chain retail stores, Eating places/restaurants, Post office, Professional offices (doctor dentist lawyer accountant real estate)",4217.0
0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,The paint on the house seems have peeled off. All the windows are closed and the garden was not taken care of. I assume it is an vacant house. ,"This is a broken car with no license plate, I assume it is abandoned. ",This is a 3 story apartment with parking space on its first floor. ,There are graffiti on the garbage bin and it is over filled. ,The church stands out from the average residential block. ,2018-10-23 18:08:22,,4027.0
1,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,It would be easy to write a graffiti in the area because there were only a few people even during daytime.,I could see that people tend to speed up around the area because the view is open.,This was the only construction site I saw. I presume that there are not many newly made houses there.,,,2018-10-23 18:33:52,,4010.0
0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,Apartment Building #1,Apartment Building #2 ,Apartment Building #3 ,Neighborhood Watch,Car ,2018-10-23 19:53:32,,4005.0
0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,Image of a house on the block with a young white couple walking in front of it,Image of a house on the block which is getting remodeled,Image of a house with an electric ramp for wheelchairs,"590 63rd street, Oakland, CA, 94609",,2018-10-23 20:00:48,,4005.0
1,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,An image advertising a read-a-thon at the elementary school,"A home decorated for halloween, indicative of a family oriented neighborhood ",One of the few homes on the street that had a gate. ,The west side of the street did not have sidewalks or they were very narrow. ,,2018-10-23 20:19:22,"Parks, Schools or daycare centers",4212.0
0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,"A rather out of place building with “no parking” signs all along the garage, yet cars parked directly in front of it.",The residential housing which seems rather well maintained.,"A very small amount of litter present in the curb, but the sidewalks are clean. ",Roads in fair condition and trees growing on both sides of the road.,An apartment complex that seems to house around 10 people. ,2018-10-23 20:27:26,,4027.0
0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,"The street is filled with contrasts. Both old and new, well kept and not kept up at all. This image captures the occasional garbage on the road, but also small gardens that are maintained. Present in the picture is also a garbage can for organic waste, and as I walked past what appeared to be the owner of the house talked to the hired gardener. A street with litter, but some bushes perfectly cut. ","While the street was mostly quite clean, there were some empty vodka bottles. Not particularly good vodka either if you ask me. ",A lot of construction/rehabilitation of apartment buildings went on in the street.,"Some apartment buildings appeared very new, contrasting the more worn out ones with partial paint jobs and rusty fences. ",The building facing the modern apartment building. It houses a religious community.,2018-10-23 20:33:02,Professional offices (doctor dentist lawyer accountant real estate),4010.0
0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,This picture is of the apartment complex on the street. It looked white new and was also the only place on the block were trees were observed. They’re quite a variety of tree heights.,"The picture is of the end of the apartment complex and a sign that says directs the public to a cafe within a small alleyway beside the building. The fence was the area I saw the most tagging and graffiti on. This picture specifically shows multiple stickers on the pole of the fence.
","This picture is of the other building on the street that was an art institute. It looked closed for the day and pretty empty. It was not in as good of a condition as the apartment complex was.
","This picture is of the large, open parking lot on the street. I believe it was public parking and that there was some sort of fee for using it.",,2018-10-23 20:39:12,Eating places/restaurants,4028.0
0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,5.0,"“Justice for Mike Brown” and “Justice for Eric Garner” posters hanging on the windows to demonstrate support for the injustices the community have faced in Oakland.
","An empty liquor bottle of E&J lying on the curb in Oakland. This was the only liquor bottle that was on the ground.
","One of the views of the street. Along this street, we can see houses, cars, “no parking” signs, trees, and “Black lives matter” posters.
",,,2018-10-23 20:42:19,,4010.0
0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,Some abandoned stuff plus a rental bike on the sidewalk.,Clean street with school in the background connected to the park.,Dry grass with mesh fencing around one yard and some graffiti on a stop sign.,Political sign on dry grass and graffiti on a stop sign on an otherwise clean street.,,2018-10-23 20:42:58,"Community center, Playgrounds, Schools or daycare centers",4201.0
0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,House (among others) with Peggy McQuaid campaign yard sign.  ,Children playing at Marin Elementary during what is presumably recess.,A sidewalk rehab sign on the side of the street. ,A relatively large two-story house on the corner of the block. ,,2018-10-23 20:54:32,Schools or daycare centers,4206.0
