Image #1,Image #1 Address,Other thoughts or comments for Image #1,Image #2,Image #2 Address,Other thoughts or comments for Image #2,Image #3,Image #3 Address,Other thoughts or comments for Image #3,Image #4,Other thoughts or comments for Image #4,Image #4 Address,Image #5,Image #5 Address,Other thoughts or comments for Image #5,Image #1 coordinates,Image #2 coordinates,Image #3 coordinates,Image #4 coordinates,Image #5 coordinates,Census Tract
https://drive.google.com/open?id=1PkxRLpbD0OI4kDFO58_ZJ6VEDdBbbYAs,"6330 Shattuck Ave, Oakland, CA, 94609","Residential unit next to corner store market. This photo depicts a relatively newer constructed house on the block. It was also one of the few homes, the rest were multi unit houses or mid century built apartments.

",https://drive.google.com/open?id=1LA7lw65IXusLPf3kRA2UKEVEGXNbYJzE,"6401 Shattuck Avenue, Oakland, CA, 94609 ","A commercial business in mixed residential/commercial neighborhood. Graffiti on building is one of numerous tags on the corner of Shattuck and Alcatraz

",https://drive.google.com/open?id=1SHMmNGp7UKTJZV-5Khw3Ff-bKBRRkgQ7,"6341 Shattuck Ave, Oakland, CA, 94609","Commercial parking lot for Subway restaurant. Above is a billboard advertising gaining credit. The billboard tarnished the residential feel for the neighborhood and seemed out of place.
",https://drive.google.com/open?id=1yCXhvqFHv2yGtzD9R-OL1rYKSho25lIJ,This is the side of the Subway fast food restaurant. This image depicts the overall condition of many of the commercial buildings on the block. ,"6341 Shattuck Ave, Oakland, CA, 94609",https://drive.google.com/open?id=1R96OOM2p9zyJDABtpuo0nF9sFtD8fFOZ,"6336 Shattuck Ave, Oakland, CA, 94609",These newly implemented electric bikes sponsored by Ford suggest that the neighborhood is up and coming. It also suggests that this is a commuter hub between Oakland and Berkeley. I think this is a sign that the neighborhood is becoming gentrified and more of a destination than it had been in the past.,"[37.8490345102041, -122.265629979592]","[37.8375818, -122.2641429]","[37.8490643469388, -122.265843306122]","[37.8490643469388, -122.265843306122]","[37.8490626122449, -122.26563377551]",4005
https://drive.google.com/open?id=1QmL3kMKdCs-bVz9C6abAZPdEm8OHLtFP,"832 57th Street, Oakland, CA, 94608",Here is a photo of some liquor bottle that I was able to find on the block.,https://drive.google.com/open?id=1UgyF48O7mJtbctAh2sm41hwRYKcwfbVO,"848 57th Street, Oakland, CA, 94608",Here is the light post with the missing cat post. It was a very detailed sign!,https://drive.google.com/open?id=1rRkgpHTPC5greMLEJH6v56u7IB_JqwJ7,"804 57th Street, Oakland, CA, 94608",Here we observe that the conditions of the road were fair in condition. ,,,,,,,"[37.8419956666667, -122.271601111111]","[37.841945, -122.272094]","[37.8421002862812, -122.27056823773]",NaN,NaN,4007
https://drive.google.com/open?id=1GUDAkgHfgAii1Esnm76kn3-StDAJ8Quu,"5656 Dover St, Oakland, CA, 94609",Neighborhood watch signs like this were around both ends of the street and adjacent streets as well. ,https://drive.google.com/open?id=1JPMjJHVoY9BRefphYpK-WnxrINWRduGv,"5656 Dover Street, Oakland, CA, 94609",Some trash and junk like the one pictured above were around the sidewalks.,https://drive.google.com/open?id=15WJQo4gCg7CZi7xQ4YUb85nIMv47JQvg,"5656 Dover St, Oakland, CA, 94609","As you can see in the picture above, the street was cracked and bumpy, most likely due to overgrown roots from the trees. ",,,,,,,"[37.8419057586207, -122.267506965517]","[37.8419057586207, -122.267506965517]","[37.8419057586207, -122.267506965517]",NaN,NaN,4006
https://drive.google.com/open?id=1Gm3rO8U-UvtwHZG5-JMl4Qu-JHM4MCnh,"370 12th Street, Oakland, CA, 94607  ","Spices 3, Chinese Restaurant. I used this business to navigate to my block.",https://drive.google.com/open?id=1uIQ02V_BU2pn257Izmc55mzMnq4LBhd8,,Pic 4 shows the apartments above the store fronts. ,https://drive.google.com/open?id=1lVMbs2iJEh2C8Jo2xlsFiLQuGJBXAkax,"388 12th Steet, Oakland, CA, 94607",East Bay Longevity Assisted Living - Retirement Home ,https://drive.google.com/open?id=17XRWCqCSdvDxW0IzLlfCktwWyBNu-9du,Bank of the Orient,"360 12th St, Oakland, CA, 94607",https://drive.google.com/open?id=1faFqcsJii5L_P9jQKKVjlvs3-u172wQi,"1111 Franklin St, Oakland, CA, 94607","This picture shows the high-rise buildings on the next block. 
Past my face block, passing Franklin St. Area is completely different than my block. ","[37.803459, -122.2733591]","(37.8004265, -122.270732)","(37.8004265, -122.270732)","[37.8021905034566, -122.26994404218]","[37.8019758646496, -122.271287269027]",4030
https://drive.google.com/open?id=10nBBbYs2X5yXw2sQGuf-DNSxEnFtWvfe,"3281 Martin Luther King Jr Way, Oakland, CA, 94609","This is the lot attached to an abandoned house. No efforts to possibly renovate this area were seen, and graffiti/tagging is present.",https://drive.google.com/open?id=14zMd-9ur4m7IYt9rXZY6pNY8zCLdF8dW," 3281 Martin Luther King Jr Way, Oakland, CA, 94609","The first house on this block, facing the cross street of MLK Jr. Way, is this abandoned house. It is currently up for sale by ""Intero Real Estate."" ",https://drive.google.com/open?id=1eqdJMODjjxDXxdfCjFQPPnY6XHo-4juq,"666 33rd Street, Oakland, CA, 94609","When you first place foot onto the street, you see this pile of trash on the sidewalk. There was nobody around who this could potentially belong to, and there did not seem to be any efforts to clean this up. ",https://drive.google.com/open?id=1V4rX9HwUtvDSTJtH9K_DjppEwTPzme3G,"This was one of the place, an AT&T box, that tagging was prevalent on the street. Although, I do not know the exact meaning behind the tagging, it looks gang-related. ","722 33rd Street, Oakland, CA, 94609",https://drive.google.com/open?id=1t-2vKue1kc4wjX8RK9HP-uAXUqdOFmLs,"651 33rd Street, Oakland, CA, 94609","Across from 33rd Street, you see this highway passing which could have potentially impacted the make-up of the neighborhood and surrounding areas.","(37.8207387, -122.2733758)","(37.8207387, -122.2733758)","[37.8228548082192, -122.270603452055]","[37.8230500410959, -122.271429260274]","[37.8225594230769, -122.270072038462]",4014
https://drive.google.com/open?id=1pTFCGacq2cfGnx5AJlQdrqI0MNvJf_75,"935 Cornell Ave, Albany, CA, 94706",A nice house with halloween decorations. ,https://drive.google.com/open?id=1SJiMfXRNAICjabEgJIe2WgaP03cEhZOZ,"916 Cornell Ave, Albany, CA, 94706",A well kept front porch with carved pumpkins. ,https://drive.google.com/open?id=1z659BZ8dDM-SpyYX3-mVqqbAMUYagLCW,"942 Cornell Ave, Albany, CA, 94706",A clean street with nice cars.,,,,,,,"[37.8892514400638, -122.295782724734]","[37.8897421528168, -122.296156279171]","[37.8889738375526, -122.295907917774]",NaN,NaN,4205
https://drive.google.com/open?id=1wT6b6EEvOBunxXTvoOJTcAqcJmI8KcFa,"585 Cragmont Ave, Berkeley, CA, 94708","This home appears to be in good condition and well kept. Yet, it also appears to be vacant. Based on my visual survey, the block has, I'd say, maybe a handful of similar residential properties -- i.e., properties that are in good condition, well kept, and vacant.  ",https://drive.google.com/open?id=1aGjHh9iwXt_ecPPFm32b-cUAv0DDn2z6,"584 Cragmont Avenue, Berkeley, CA, 94708","This property strikes me as a the sort of home that traditionally would have been occupied by a family of middle class means, picket fence and all. ",https://drive.google.com/open?id=1zDF2CSc1OZ3YuA2aypHFQOm9z5OBvlqB,"556 Cragmont Ave, Berkeley, CA, 94708","This home stands out to me because in comparison to most of the other homes on the block, it is distinctly simple and modest. The home is by no means grand in any way, and offers nothing that would impress one's visual sensibility. Indeed the home seems suited to satisfy the taste of someone to whom appearance is unimportant. I perceive this house as basically identical to that of the hundreds (thousands) of houses found throughout the state and country which are inhabited by low income earners. Yet, the neighborhood in which this home currently sits, is, I would say, definitely not a low-income neighborhood. So, in a way, this home seems out of place, considering that the surrounding community has the feel of being one inhabited by people who are closer to being well off, instead of of limited means.",https://drive.google.com/open?id=19KjiNEGWt-X8p4dJtuQnCxG0iJBqaGAp,"Here, once again, I am struck by how modest and simple some of the homes on this block are. Regarding aesthetic appeal, this home does not offer much at all. I cannot resist thinking about the building of this house, and who, exactly (what type of homeowner), the builder(s) most likely had in mind when building it.","598 Cragmont Ave, Berkeley, CA, 94708",https://drive.google.com/open?id=1n2zEhCo9MD_SxwuNRgNExrO26HcLY1Xm,"525 Cragmont Ave, Berkeley, CA, 94708","What strikes me about this home, is that it is distinctly newer and nicer than a number of other homes on the block (also, in turn, there are other homes on the block which are nicer than this one). This home, in my estimation, is evidence that regarding socio-economic status, the neighborhood and block, as opposed to being relatively homogeneous, is most likely closer to being relatively diverse.   ","[37.9010600754082, -122.268830015221]","[37.9010758400827, -122.269050183611]","[37.9016682495208, -122.268711548545]","[37.900776, -122.269213]","[37.9023380436866, -122.269005903278]",4212
https://drive.google.com/open?id=1rS_y_VXbb_kjKVSaaXfhqZr8uiFk7GbU,"1313 Solano Ave, Albany, CA, 94706","The main focus of this photo depicts the roads and sidewalks. The pavement is smooth, lacking potholes and other random cavities. It is visible that there is debris by the curb but most of it includes leaves from the trees. The neighborhood seems well maintained other than some slight wild weeds springing up. ",https://drive.google.com/open?id=19jfmHBehUkpJxamb-KfKn8cqTTSRDwjC,"1319 Solano Ave, Albany, CA, 9470","In the cross section of Solano Avenue and Pomona Avenue, there were three institutions with the rest of Pomona Avenue as residential buildings. This church, amusingly named the Church on the Corner, is one of the institutions that sit on the cross section. It stands out quite a bit from the rest of the houses. I visited on a Sunday afternoon and I saw visitors of the church leaving. Other than that, I ran into very few people in the neighborhood. 
",https://drive.google.com/open?id=1UTcPQKtWPcmA0IM3XivuRWmjySRGnGQu,"851 Pomona Ave, Albany, CA, 94706","Although there is variety in the housing in terms of aesthetics, this photo illustrates the common set up of the housing in this neighborhood. It is a one or two story building with a parking spot. As seen in this photo, some of the lawns are not kept as grassy lawns. Additionally, there is quite a bit of wild grass growing springing throughout the neighborhood. ",https://drive.google.com/open?id=1XOmUz56Zcwy9Y7aze90pVJxX6YpDN3RH,"The houses are designed to have a lawn and a lot of greenery running down the path that lines the housing and street. This is an indication about the intended class of occupants in the past- perhaps, they were more wealthy. Cars are parked outside on the street and interestingly, there are quite a number of vans, which might hint at large families living in the vicinity. There were no homeless community members roaming around. In fact, the photos show that, at the time of my visit, the streets were quite empty!","1313 Solano Ave, Albany, CA, 94706",https://drive.google.com/open?id=1MnhXysFivp00Ee4kVY9GJjp4yjgMHZAa,"1313 Solano Ave, Albany, CA, 94706",(Same as #4),"[37.8907144885032, -122.292177412082]","[37.89090865, -122.291754745676]","[37.8917120835298, -122.291810386107]","[37.8907144885032, -122.292177412082]","[37.8907144885032, -122.292177412082]",4206
https://drive.google.com/open?id=1oCzyg1Zu7XAwh2gR7vm3MJmT9cQbhOdO," 581 61st St, Oakland, CA, 94609",I took a picture of Sankofa Academy to show the exterior view of this school,https://drive.google.com/open?id=1oRoTrxE5KuXiHtHpPiGJ6wPj1SLeqLFu,"546 61st Street, Oakland, CA, 94609",This block was very quiet and empty,https://drive.google.com/open?id=1xDh-oo_-dZ5ft0JF1JfNV-87ou8bAp9g,"6103 61st St Oakland, CA, 94609","Shattuck Av:61st St Oakland, CA 94609",https://drive.google.com/open?id=1K2NfJ2eElOSp44_YZS8SCL8ysyg9Jm3F,Could be a possible hazard for those walking along,"588 61st St, Oakland, CA, 94609",,,,"[37.8471060114845, -122.264533266146]","[37.8474763688952, -122.262935554173]","[37.8460569, -122.2708913]","[37.8472361191006, -122.264812976908]",NaN,4005
https://drive.google.com/open?id=1h_2I6FqDVOi6H0lNotkqwYVREEneu35Q,"1325 Thousand Oaks Boulevard, Albany, CA, 94706","The home pictured to the right above captures the well-maintained state of the households and sidewalks on the block. Across from the house is Albany High School, which is captured in the top left of the picture behind trees along the street side. Small bushes and plants flourish in the front yard. The home is occupied and in good condition, as indicated by the cleanliness of the house. The block is exposed to a pleasurable balance of shade and sunlight. The cars are also well-kept and cleaned. 

The state of the block in the picture above implies the neighborhood consists of families who are well off financially, socially, and culturally. The neighborhood also consists of respectful residents who are mindful of their space. The state of the picture also indicates the neighborhood is safe and calm. 
",https://drive.google.com/open?id=1cvg4-RhYfJUuxkCkEw3n_OrB71XSj5cT,"603 Key Route Boulevard, Albany, CA, 94706","The image above captures the gym of Albany High School, the outer field of the baseball diamond, buildings in construction, and a man in a blue t-shirt and grey shorts walking his dog. The school building is neat, clean, and free from graffiti or signs of aging. The field is a nice green, which indicates that it is being well kept. The field is fenced off by tall fences, and large trees line the sidewalk. 

The picture paints a fresh image of the block and indicates the neighborhood is a respectable space for its residents and visitors. The maintenance of the field and high school leaves a friendly impression. The neighborhood is also a welcoming place for residents and visitors to stroll and admire.
",https://drive.google.com/open?id=1AVZgtRHK49Z-DAW7VDRhPJWn1wkUYFsN,"1326 Thousand Oaks Boulevard, Albany, CA, 94706","The sidewalks along the street lining Memorial Park are more rugged and deformed, mostly due to tree growth. Also pictured in the farther distance are spectators observing the baseball game to the right and a man walking along the sidewalk wearing a black backpack. Cars are parked along the road, all of which are in great condition. The cars are neat modern models. 

The sidewalks are aged and deformed due to tree rooting, which poses hazards for pedestrians and also cause difficulty for bikers, skaters, and strollers. Though, residents appear unbothered by the deformed sidewalk. Aside from the sidewalk, the trees add a nice aesthetic to the old sidewalk. Most cars along the side of the road are SUVs and vans, which are used to hold sport equipment and supporting families for the baseball players on the field. There is little wear and tear on the sidewalks, fences, and cars in the image, so the area must not be a busy and bustling block nor is it a disrespected area. 
",https://drive.google.com/open?id=1Pd0Kjzaox-rx9x25_UrqSW3pkHXX_fy-,"A variety of large trees line the street side. A man in an olive t-shirt and grey shorts bikes down the street. In the background, two teams compete in a baseball match. Spectators, which are a mix of adults, teens, and children, fill the bleachers in the far distance.

Residents in the neighborhood are physically active. Teens engage in sports and adults engage in recreational activities such as biking. The neighborhood also creates a sense of community. As seen in the far distance and along the fence, families and residents take time to support the athletes. 
","1326 Thousand Oaks Boulevard, Albany, CA, 94706",https://drive.google.com/open?id=1tiGgNR1KhExQht-ps8UXyX86i4t_FQ0p,"1326 Thousand Oaks Boulevard, Albany, CA, 94706","The photo above captured the overall condition of the block studied. The street is smooth with only minor cracks (not visible in this photo). The cars are in great condition, the homes are well built and maintained, and there is little to no traffic. The block is filled with luscious trees and plants. The neighborhood is calm and free from trash, litter, or hazards. The block is child-friendly and is family oriented. The residents live across from a park and a high school, which is ideal for families with grade-school children. 

The road is well-maintained with minimal faults, which indicates that the neighborhood does not receive heavy amounts of traffic. The road is also small, which means smaller vehicles (no large trucks or other larger vehicles) are the main mode of travel through these parts. Small amounts of traffic also give children room to play safely under adult supervision. The sky is clear and the neighborhood is free of litter, which promotes a healthy environment for families to thrive.
","[37.8967493518121, -122.291101995952]","[37.8965494259009, -122.29256332415]","[37.8965905, -122.2912575]","[37.8965905, -122.2912575]","[37.8965905, -122.2912575]",4201
https://drive.google.com/open?id=11CilkVZnwnL94WTISX00ATaCIwFTNlld,"86 San Mateo Rd, Berkeley, CA, 94707","While I was walking around, I saw these decorative lights hanging around the entrance to the home, and I thought it was unique and welcoming.",https://drive.google.com/open?id=1LGjkUePBD1Jr2QfCEDC0Frr0EkPiKZv1,"22 San Mateo Rd., Berkeley, CA, 94707",Almost all of the mailboxes on the street were open as seen in this picture; I’m not sure if this was because mail was stolen or simply because they don’t stay closed.,https://drive.google.com/open?id=1EiHaAX3vWPU1KOqD1oTQ_Q6dVcDas0XJ,"7 San Mateo Rd, Berkeley, CA, 94707","This is one of the paths that led from the block down to the main street behind it. This one seems more for walking use, but the others were not as nice.",https://drive.google.com/open?id=14HQOmPXWpiLeSqxLLwmIlFD0IkQsfszn,"I don’t fully understand what this sign means, but it was posted outside of what seemed to be an empty home and I found it interesting.","40 San Mateo Rd, Berkeley, CA, 94707",,,,"[37.8940164521739, -122.272981317391]","[37.8928413356175, -122.273231254391]","[37.8924681, -122.2731069]","[37.8931038909014, -122.273426948671]",NaN,4212
https://drive.google.com/open?id=1LGZXAcKPW6zvLJHunVvcTnHUWMfJGPT6,"1510 Bonita Ave, Berkeley, CA, 94709","Nice houses, nice cars. Only visible damage from winds is that tree.",https://drive.google.com/open?id=17eJvAC3GpZVc4dkvCxfebcC5cCLP87Ya,"1520 Bonita Ave, Berkeley, CA, 94709",Only man-made damage visible on the block is the grafitti on the wood gate to the left.,https://drive.google.com/open?id=1oZAbPZq6T77yT96IAi1pn3oaZFv_zFsq,"1522 Bonita Ave, Berkeley, CA, 94709",no litter or trash on the street. ,https://drive.google.com/open?id=1fbY_Sqo_cWwbUnqqXNF7pvggOrEks_1h,One of the few residental duplexes on the block ,"1510 Bonita Ave, Berkeley, CA, 94709",https://drive.google.com/open?id=1RvkuvzQHWpKL95i5QNg6LbLkJb4MyuQh,"1530 Bonita Ave, Berkeley, CA, 94709","quiet street, nothing out of the ordinary","[37.8790736, -122.2728245]","[37.8792926463806, -122.272841950465]","[37.8787306, -122.2727913]","[37.8790736, -122.2728245]","[37.878559, -122.2727873]",4217
https://drive.google.com/open?id=1C2rPGeppuQt73TWh7Qjhu_1NADc3es7O,"1945 Berkeley Way, Berkley, CA, 94704",It's a nice part of the block (apartments on the side) with a pride flag hanging of the balcony and lots of trees around. ,https://drive.google.com/open?id=1EAKM8U6XfX9D6JskIidF9nk1v__CTu5r,"1932 Hearst Avenue, Berkeley, CA, 94709,","Another apartment complex on the block. Clean, nice and peaceful. ",https://drive.google.com/open?id=1tasltE7yn7GBZmOola0ed3gy1zYXuyr0,"1945 Berkeley Way, Berkeley, CA, 94704","Stand out where it doesn't have that much trees around it, but still a green area. Except for some trash that probably fell out and some glass on the street, there is no visible trash anywhere. ",https://drive.google.com/open?id=1uv8IndPz7Z6W_csNWtKRzQL_lfC8qw96,"No bars in front of door or widows. Over all, it seems like a safe neighborhood since people don't feel the need to secure their houses too much.","1903 Bonita Avenue, Berkeley, CA, 94704",https://drive.google.com/open?id=1pgB4L82H_KnkvLX8ztJchZrpv-NPrpSz,"1930 Hearst Avenue, Berkeley, CA, 94709","There were some fences that would give privacy and secure a little, but they weren't completely closed and you could see the door and openings to apartment complex or houses. ","(37.8752396, -122.2695878)","[37.8745639, -122.2640071]","[37.87289615, -122.271275046211]","[37.8731815, -122.27182775]","[37.8745639, -122.2640071]",4224
https://drive.google.com/open?id=1xyHvGEd1YFtMcAX9Gw2KIHIhS_NQnL6m,"771 18th St, Oakland, CA, 94612","This is the view of my block face, facing towards West. In the picture you can see the houses and the mostly empty street. The fence has mild tagging and isn’t a very tall fence (about 5ft). The street is near the freeway. The area across the neighborhood has high-rise buildings and an over-ramp near it. The cars are also regular cars. ",https://drive.google.com/open?id=1yD2hY4jfAx9EXilWlm2XvxR5UuLrVXFN,"1728 West St., Oakland, CA, 94612","Across my block face, there was a school named “Kipp Bridge Academy.” The fencing around the campus was taller than 6ft and also looked modern in comparison to the neighborhood. There was a sign near the school that was tagged with graffiti. The center of the street was a divider between the intersection of 18th and 17th Street. 
",https://drive.google.com/open?id=1-p17SH1aOvMGWoQE5_yOYQZt-UaFi2ZD,"781 18th St, Oakland, CA, 94612","This picture (above) highlights other observations. There is one luxurious car that is parked in the only handicap spot on the block. There is also black fencing surrounding the house, however it is not that tall. The houses are in great condition. ",,,,,,,"[37.8099864343434, -122.27746140404]","[37.8100343789774, -122.277894747348]","[37.8099683535354, -122.277415747475]",NaN,NaN,4027
https://drive.google.com/open?id=1Mcc4wbqnPpobD4LqvZq9WDfZqqzlRiqO,"952 Shattuck Ave, Berkeley, CA, 94707","Example of the parking violation, cars parked facing opposite directions.",https://drive.google.com/open?id=186hPDyGMIRmiBWvchCe89Jp98KnfAnTV,"927 Shattuck Ave., Berkeley, CA, 94707","Example of rundown house with very unkempt yard 
landscape.",https://drive.google.com/open?id=1KzOVakxzvDP5Rr28yhA98TplJwSMBkux,"935 Shattuck Ave, Berkeley, CA, 94707","Example of the unkempt yard landscape of nicer homes, homes seeming three stories.",https://drive.google.com/open?id=1TTVJ5i1WPEWaQVmEjzFhi1DsPufkmTwi,Example of the condition of the sidewalk (old and cracked),"959 Shattuck Ave, Berkeley, CA, 94707",,,,"[37.8901878529252, -122.269323228865]","[37.8907444335482, -122.269785544112]","[37.8907060069675, -122.269472001757]","[37.8900125293193, -122.268957763964]",NaN,4214
https://drive.google.com/open?id=1P141E98eKp0TkDm8gyjCJaPAxJpYNs_6,"1519 Oxford St, Berkeley, CA, 94709","Example of the single family homes, people seem
to be very invested in the landscaping on this
block.",https://drive.google.com/open?id=1HHL79dY057o2sxWPjHk6Nb-2D8t1pcvk,"1519 Oxford St., Berkeley, CA, 94709",Example of the investment in landscaping.,https://drive.google.com/open?id=15ornrfElVI6OlTyS459_XBZJ9ZLLtDNo,"1519 Oxford St, Berkeley, CA, 94709",The only litter that I found on the block.,,,,,,,"[37.879616, -122.266788]","[37.879616, -122.266788]","[37.879616, -122.266788]",NaN,NaN,4217
https://drive.google.com/open?id=1rF3gQhpfIwYBPmRUY_ejk30-JLv-5O9m,"1100 Franklin Street, Oakland, CA, 94607",Apartment/Hotel building that seems to be in pretty bad shape with graffiti tags and other maintenance problems.,https://drive.google.com/open?id=1MuVo0GjhxUfKnlpScm-iMk6eZ71gyb5i,"1108 Franklin Street, Oakland, CA, 94607",Chinese gift shop that also had highly tagged banners and windows. Also had metal grating along the front windows of the shop.,https://drive.google.com/open?id=1IVJNlCehRaiW3lfHl8fzjcOhjzJJHYvl,"1150 Franklin Street, Oakland, CA, 94607","Private lot that seems to connect to the Salvation Army whose main entrance is located on 379 12th St, Oakland, CA 94607.",https://drive.google.com/open?id=1XDqdEkFQQluOruh1LcxM9LN7uCtEnZwu,"A picture of some of the other graffiti tags on the street block with, some tagging on the other side of the apartment, and also on some of the restaurants and offices along the sidewalk as well. ","1116 Franklin Street, Oakland, CA, 94607",https://drive.google.com/open?id=1hVUU--pL0Q6Yimz0QjXhn2RB5obky-z0,"1111 Franklin Street, Oakland, CA, 94607",UC extension building for Regents. Seemed out of place on a street with such a decrepit looking other side.,"[37.801856, -122.271129]","[37.8018939486158, -122.271105319489]","[37.8020944194803, -122.270982998283]","[37.8019321335424, -122.271082020211]","[37.8019758646496, -122.271287269027]",4030
https://drive.google.com/open?id=1SL_sK0HsuQsrI1-yINWRSkma4SO_q3ZO,"2600 Shattuck Ave, Berkeley, CA, 94704",This is an image of the gym/fitness building located at the cross section of Parker St. and Shattuck Ave.,https://drive.google.com/open?id=1059ppMHZ5bSczkJobcnwU_Sc5JK0X8_c,"2016 Parker St., Berkeley, CA, 94704",This is an image of a few of the houses on the block. It shows the average clean state of the houses on the block.,https://drive.google.com/open?id=1W0xGQpFJkAm3v9OQ3vE1WI5qP9QaYfy0,"2031 Parker Street, Berkeley, CA, 94704",This is a picture of a proposed project  sign that was located in the front of one of the houses on the block.,https://drive.google.com/open?id=1B5gz7sfIUtAADdbXAs5WXqXa8OvKGKmM,This is a picture of an abandoned shopping cart that was located on the sidewalk on the southern side of the block. ,"2014 Parker Street, Berkeley, CA, 94704",https://drive.google.com/open?id=1PyTT-3dewDGQ4NIbhJTVwpY9i0Ma5wKq,"2014 Parker Street, Berkeley, CA, 94704",This picture shows a few pieces of abandoned furniture which were located near the sidewalk on the block of Parker that I examined.,"[37.8724895, -122.2684359]","[37.8618299041292, -122.269125840607]","[37.8620293342287, -122.268860282016]","[37.8618245381753, -122.269168610162]","[37.8618245381753, -122.269168610162]",4235
https://drive.google.com/open?id=1yELDmaeLRCicV3hOXmuEpSvSgzYbFH4C,"121 7th Street, Oakland, CA, 94607",There were some graffiti on the mail box.,https://drive.google.com/open?id=1Qtn8PXMapr4IoJ-Xndk7CCG0QHJgdVJI,"119 7th Street, Oakland, CA, 94607",Quite a lot of garbage on the street.,https://drive.google.com/open?id=1Mu1RQrVry-84-zK-vXOA2EH_LveSDxGn,"632 Madison Street, Oakland, CA, 94607","Most of the houses are installed with bars or fences, both around yards or on the windows.",,,,,,,"[37.796373388181, -122.266477838577]","[37.7963587997126, -122.266440173803]","[37.7962612200807, -122.267262727355]",NaN,NaN,4033
https://drive.google.com/open?id=1kaMj7N1sbD4547kjnzq0RMKbG-JIWAvb,"350 4th Street, Oakland, CA, 94607","This is a professionally painted mural on the wall of a local bar, next to a hazardous area.",https://drive.google.com/open?id=1PIBUeVCQxxaBpeUMUZtL0_LH0pUvrLAF,"150 4th Street, Oakland, California, 94607",These are modern looking apartments in an industrial area filled with abandoned buildings.,https://drive.google.com/open?id=1C3u2oTI0i6d26-QuWDidptWO3CKOH0k1,"267 4th Street, Oakland, California, 94607",This is an abandoned building that was possibly some type of warehouse. The tape on the inside of the windows seem to hint that some kind of renovation could be taking place.,https://drive.google.com/open?id=1tQqPKWr27U6oiLKGYowiEitDnyvU4p1m,"A nearby fenced lot labeled ""Hazardous Area"" sandwiched between a local bar and a small warehouse called ""Alameda County Weights & Measures.","350 4th Street, Oakland, CA, 94607",https://drive.google.com/open?id=1nxHCtfeb9pnzlFazdWvAu0OknNsqAa7C,"311 4th Street, Oakland, CA, 94607",This is tagging on a nearby painted fence surrounding an auto repair lot.,"[37.7965680367335, -122.273540596779]","[37.7944878637014, -122.267757604835]","[37.7955398, -122.271364504638]","[37.7965680367335, -122.273540596779]","[37.7961288205128, -122.271967038462]",4033
https://drive.google.com/open?id=1OYVecARsinBOdmVTcnGgHIxj0bF6givH,," I took a picture of this to show the huge street trees on the block. I found it particularly interesting because they are so giant, unlike many street trees",https://drive.google.com/open?id=16CyN6gGdxNY8FB3Kk2I_H4Hc_h4M4rIv,,,https://drive.google.com/open?id=1-3KNvQ_TWIiYvxT68ARfZ1mcWNu8oWEr," 1604 Solano Ave, Albany, CA, 94707",Figure 3 This picture shows a very well maintained law office with  statue of a bike in front. I think this is interesting because it seemed like the only one on the block,https://drive.google.com/open?id=1l0A28B7lpMrthI-neVHhDI5OzZBiJZ0V,This is a picture of the cars and corner of the street which is relatively spaced out. Seems almost rural rather than urban.,,https://drive.google.com/open?id=1bhv4TEgycl5rWiL4CZ0fdar8VRbpUIHG,"1615 Solano Ave, Albany Ave, CA, 94707","this picture was demonstrating the demographic, there were alot of families walking around this area this was the 3rd stroller I saw.","(37.8947731, -122.2910214)","(37.8947731, -122.2910214)","[37.8909932978528, -122.284220489724]","(37.8947731, -122.2910214)","[37.891153, -122.28432]",4201
https://drive.google.com/open?id=1Fb8mVl847dMWOlfF8qmGvfbc7Q1X3NjK,"1702 Sonoma Ave, Berkeley, CA, 94707","An original old age street sign made from stone. The street name is carved into the stone, and these pillars appear at every cross street. It signifies the long-lasting, multi-generational wealth that exists in this neighborhood.",https://drive.google.com/open?id=1QC92ijBcXHPQd5B_8ystaVzdBMUZ4iQv,"1000 Peralta Ave., Albany, CA, 94706",The neighborhood had an apparent bike lane that seemed recently painted. The high quality of the lining and overall existence points towards a community that encourages healthy living practices such as bike riding.,https://drive.google.com/open?id=1RUX8bRxJUhQuL3xP6Y2E7aIqOxz_0kyg,"1495 Sonoma Ave, Albany, CA, 94706",This elementary school was at the very end of Sonoma Ave at the cross-street of Curtis St. This proximity to an elementary school makes early education easily accessible to families as well as easier to be involved with school activities being for the close walking distance.,https://drive.google.com/open?id=1XnIqxsI8K0Ezm1mCOR5K-_y6akpBKclf,Solano Ave is on a hill giving a great view of the lower-level communities around. A house on a hill often increases the value of the property and the houses grew larger and nicer as you went up the hill.,"1699 Sonoma Ave, Albany, CA, 94707",https://drive.google.com/open?id=1RNJ63r8NZvk1WncP6fUcev_79IBi4ED1,,"A community sharing library contrasted with, the classic icon of Berkeley, the green compost bin. Both amenities alluding to community unity and environmental awareness.","[37.8862423, -122.2802253]","[37.887279, -122.285516]","[37.88774, -122.286597]","[37.886779, -122.282402]","(37.8870336, -122.2870621)",4206
